"Abstract product availability","Verfügbarkeit des abstrakten Produktes"
Actions,Aktionen
Availability,Verfügbarkeit
"Availability information for selected product - store pair does not exist.","Informationen zur Verfügbarkeit des ausgewählten Produkts - Filialpaar nicht vorhanden."
Available,Verfügbar
"Available in stores","Im Store erhältlich"
"Back to product","Zurück zu Produkt"
"Current Stock","Aktueller Bestand"
"Edit Stock","Lagerbestand bearbeiten"
"Is never out of stock","Ist immer auf Lager"
"List of product availability","Liste der Produktverfügbarkeit"
n/a,k.A.
Name,Name
No,Nein
"Not available","Nicht verfügbar"
"Product Availability",Produktverfügbarkeit
"Product availability list","Liste der Produktverfügbarkeit"
"Products Availability","Verfügbarkeit der Produkte"
"Quantity in Bundle","Menge im Bündel"
"Reserved Products","Reservierte Produkte"
Save,Speichern
SKU,SKU
"Variant availability",Variantenverfügbarkeit
Yes,Ja
