Active,Active
"Allow to search for this category:","Allow to search for this category:"
"Assign products","Assign products"
"Category key:","Category key:"
"Category status","Category status"
"Category template","Category template"
Create,Create
"Create category","Create category"
"Create Category","Create category"
Delete,Delete
"Delete category","Delete category"
Edit,Edit
"Edit category","Edit category"
"In Menu","In Menu"
Inactive,Inactive
"List Categories","List of categories"
"List of categories","List of categories"
no,No
"Not in Menu","Not in Menu"
Save,Save
"Save Order","Save Order"
Searchable,Searchable
Translations,Translations
View,View
"View category","View category"
"Visible in the category tree","Visible in the category tree"
"Visible in the category tree:","Visible in the category tree:"
yes,Yes
"Yes, I am sure","Yes, I am sure"
"Root nodes list","Root nodes list"
"Parent","Parent"
"Additional Parents","Additional Parents"
"-Select value-","-Select value-"
