Parent,Parent
Yes,Yes
No,No
"Re-sort child categories","Re-sort child categories"
"Add category to this node","Add category to this node"
"Edit Category","Edit Category"
"Allow to search for this category","Allow to search for this category"
"CMS Blocks:top","CMS Blocks: top"
"CMS Blocks:middle","CMS Blocks: middle"
"CMS Blocks:bottom","CMS Blocks: bottom"
"Category key","Category key"
"-Select value-","-Select value-"
Active,Active
"Add Category to this Node","Add Category to this Node"
"Additional Parents","Additional Parents"
"Allow to search for this category:","Allow to search for this category:"
"Assign products","Assign Products"
"Assign Products to this Category","Assign Products to this Category"
Category,Category
"Category Key","Category Key"
"Category key:","Category key:"
"Category nodes successfully re-sorted.","Category nodes successfully re-sorted."
"Category nodes successfully reordered.","Category nodes successfully reordered."
"Category status","Category status"
"Category template","Category template"
"Category with id %s doesn't exist","Category with id %s doesn't exist"
Create,Create
"Create category","Create category"
"Create Category","Create category"
Delete,Delete
"Delete category","Delete category"
Edit,Edit
"Edit category","Edit category"
"In Menu","In Menu"
Inactive,Inactive
"List Categories","List of categories"
"List of categories","List of categories"
no,No
"Not in Menu","Not in Menu"
"Please make sure required fields are properly filled in","Please make sure required fields are properly filled in"
"Re-sort Child Categories","Re-sort child categories"
"Re-sort child-categories","Re-sort child categories"
"Root nodes list","Root nodes list"
Save,Save
"Save Order","Save Order"
Searchable,Searchable
"The category was added successfully.","The category was added successfully."
"The category was saved successfully.","The category was saved successfully."
"The category was updated successfully.","The category was updated successfully."
Translations,Translations
View,View
"View category","View category"
Visible,Visible
"Visible in the category tree","Visible in the category tree"
"Visible in the category tree:","Visible in the category tree:"
yes,Yes
"Yes, I am sure","Yes, I am sure"
"View Category","View Category"
"CSRF token is not valid.","CSRF token is not valid."
