Activate,Activate
"Back to CMS","Back to CMS"
by,by
Compare,Compare
"Create CMS Page","Create CMS Page"
"Create page","Create page"
"Created at:","Created at:"
Deactivate,Deactivate
Description:,Description:
"Discard Draft","Discard Draft"
"Edit CMS Page:","Edit CMS Page:"
"Edit page","Edit page"
"Edit placeholders","Edit placeholders"
"Edit Placeholders:","Edit Placeholders:"
"Fill in general page information","Fill in general page information"
"Fill in SEO information","Fill in SEO information"
"Is active:","Is active:"
"Is searchable:","Is searchable:"
Keywords:,Keywords:
"List of CMS pages","List of CMS pages"
Locale,Locale
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Missing placeholders for selected template.","Missing placeholders for selected template."
n/a,n/a
Name,Name
Name:,Name:
on,on
"Overview of CMS Pages","Overview of CMS Pages"
Publish,Publish
"Rollback to Selected Version","Rollback to Selected Version"
Save,Save
Template:,Template:
Title:,Title:
"Translation key:","Translation key:"
Url,Url
"Valid from:","Valid from (included):"
"Valid to:","Valid to (excluded):"
"Version History","Version History"
"Version History:","Version History:"
View,View
"View CMS Page:","View CMS Page:"
