"Add Company Business Unit","Add Company Business Unit"
"Back to Company Business Units","Back to Company Business Units"
"BU Name","BU Name"
"BU Parent","BU Parent"
"Company Business Unit","Company Business Unit"
"Company Business Unit ""%s"" has been created.","Company Business Unit ""%s"" has been created."
"Company Business Unit ""%s"" has been updated.","Company Business Unit ""%s"" has been updated."
"Company Business Unit ""%s"" has not been created.","Company Business Unit ""%s"" has not been created."
"Company Business Unit ""%s"" has not been updated. A Business Unit cannot be set as a child to an own child Business Unit, please check the Business Unit hierarchy.","Company Business Unit ""%s"" has not been updated. A Business Unit cannot be set as a child to an own child Business Unit, please check the Business Unit hierarchy."
"Company Business Unit ""%s"" was deleted.","Company Business Unit ""%s"" was deleted."
"Company name","Company name"
"Create Company Business Unit","Create Company Business Unit"
"Edit Company Business Unit","Edit Company Business Unit"
"List of Company Business Units","List of company business units"
"No parent","No parent"
"Overview of Company Business Units","Overview of Company Business Units"
Parent,Parent
Save,Save
"Select one","Select one"
"You can not delete a business unit ""%s"" while it contains user","You can not delete a business unit ""%s"" while it contains user"
