"Add Company","Firma hinzufügen"
Approved,Bestätigt
"Back to Companies","Zurück zu Firma"
"Company has been activated.","Unternehmen wurde aktiviert."
"Company has been approved.","Unternehmen wurde zugelassen."
"Company has been created.","Unternehmen wurde erstellt."
"Company has been deactivated.","Unternehmen wurde deaktiviert."
"Company has been denied.","Unternehmen wurde abgelehnt."
"Company has been updated.","Firma wurde aktualisiert"
"Company has not been created.","Firma wurde nicht erstellt."
"Company has not been updated.","Firma wurde nicht aktualisiert."
"Company Id",Firmen-ID
"Create Company","Firma erstellen"
Denied,Abgelehnt
Deny,Ablehnen
"Edit Company","Firma bearbeiten"
"List of Companies","Liste der Firmen"
"Overview of Companies","Übersicht der Firmen"
Save,Speichern
