"Add Company","Add Company"
Approved,Approved
"Back to Companies","Back to Companies"
"Company has been activated.","Company has been activated."
"Company has been approved.","Company has been approved."
"Company has been created.","Company has been created."
"Company has been deactivated.","Company has been deactivated."
"Company has been denied.","Company has been denied."
"Company has been updated.","Company has been updated."
"Company has not been created.","Company has not been created."
"Company has not been updated.","Company has not been updated."
"Company Id","Company Id"
"Create Company","Create Company"
Denied,Denied
Deny,Deny
"Edit Company","Edit Company"
"List of Companies","List of companies"
"Overview of Companies","Overview of Companies"
Save,Save
