company_role_key,permission_key,configuration
Ottom_Admin,AddCompanyUserPermissionPlugin,
Ottom_Admin,ManageCompanyUserInvitationPermissionPlugin,
Ottom_Admin,CompanyUserStatusChangePermissionPlugin,
Ottom_Buyer,AddCartItemPermissionPlugin,
Ottom_Buyer,ChangeCartItemPermissionPlugin,
Ottom_Buyer,RemoveCartItemPermissionPlugin,
Ottom_Buyer,PlaceOrderWithAmountUpToPermissionPlugin,
Ottom_Buyer,ReadSharedCartPermissionPlugin,
Ottom_Buyer,WriteSharedCartPermissionPlugin,
Ottom_Buyer,ReadShoppingListPermissionPlugin,
Ottom_Buyer,WriteShoppingListPermissionPlugin,
Rif_Admin,AddCompanyUserPermissionPlugin,
Rif_Admin,ManageCompanyUserInvitationPermissionPlugin,
Rif_Admin,CompanyUserStatusChangePermissionPlugin,
Rif_Buyer,AddCartItemPermissionPlugin,
Rif_Buyer,ChangeCartItemPermissionPlugin,
Rif_Buyer,RemoveCartItemPermissionPlugin,
Rif_Buyer,PlaceOrderWithAmountUpToPermissionPlugin,
Rif_Buyer,ReadSharedCartPermissionPlugin,
Rif_Buyer,WriteSharedCartPermissionPlugin,
Rif_Buyer,ReadShoppingListPermissionPlugin,
Rif_Buyer,WriteShoppingListPermissionPlugin,
