"Add Company Unit Address","Add Business Unit Address"
"Back to Company Unit Addresses","Back to Business Unit Addresses"
"Company Unit Address","Business Unit Address"
"Edit Company Unit Address:","Edit Business Unit Address:"
"List of Company Unit Addresses","List of business unit addresses"
"Overview of Company Unit Addresses","Overview of Business Unit Addresses"
Save,Save
"Company Unit Address Id","Company Unit Address Id"
"Number","Number"
"Addition to address","Addition to address"
"Create Company Unit Address","Create Company Unit Address"
"Back to Company Unit Addresses","Back to Company Unit Addresses"
"Company unit address has been successfully created.","Company unit address has been successfully created."
"Company unit address create failed.","Company unit address create failed."
"Company unit address has been successfully updated.","Company unit address has been successfully updated."
"Company unit address update failed.","Company unit address update failed."
"Addition to address","Addition to address"
"Labels","Labels"
"Zipcode","Zipcode"
Street,Street
