"Attach customer to company","Assign customer to company"
"Business Unit","Business Unit"
"Company user deletion confirmation","Company user deletion confirmation"
"Company Users","Company Users"
"Create Company User","Create Company User"
"Customer Access","Customer Access"
E-Mail,E-Mail
"Edit Company User","Edit Company User"
"List of Company Users","List of Company Users"
"Overview of Company Users","Overview of Company Users"
"User ID","User ID"
"Customer for company with id `%s` does not exist","Customer for company with id `%s` doesn't exist"
