"Content Item ID","Inhaltselement ID"
"Content Type","Inhaltstyp"
"Content Items","Inhaltselemente"
"Updated","Aktualisierte"
"Add Content Item","Inhaltselement hinzufügen"
"Back to Content Items","Zurück zu den Inhaltselementen"
"Cancel","Abbrechen"
"Create Content Item","Inhaltselement erstellen"
"Default","Standard"
"Edit Content Item","Inhaltselement bearbeiten"
"List of Content Items","Liste der Inhaltselemente"
"Content Item","Inhaltselement"
"Edit Widget","Widget bearbeiten"
"Insert","Einfügen"
"Insert a Content Item","Einfügen eines Inhaltselements"
"Select a template","Wählen Sie eine Vorlage aus"
"Select a content item","Wählen Sie einen Inhalt aus"
"Name","Name"
"Overview of Content Items","Übersicht der Inhaltselemente"
"Overwrite default by specifying a different list per specific locale","Überschreiben Sie den Standardwert, indem Sie verschiedene Inhaltselemente für ein bestimmtes Gebietsschema angeben"
"Invalid data provided","Ungültige Daten angegeben"
"Save","Speichern"
"Content Item Key","Inhaltselement Schlüssel"
"Overwrite default by specifying different content elements per specific locale","Überschreiben Sie den Standardwert, indem Sie verschiedene Inhaltselemente für ein bestimmtes Gebietsschema angeben"
