"Abstract Product List","Abstrakte Produktliste"
Actions,Aktionen
Active,Aktiv
"Add more products","Weitere Produkte hinzufügen"
"Add to list","Zur Liste hinzufügen"
content_product_abstract_list.template.bottom-title,"Titel unten"
content_product_abstract_list.template.default,Standard
content_product_abstract_list.template.top-title,"Titel oben"
Delete,Löschen
ID,ID
Image,Bild
Inactive,"Nicht aktiv"
"Move Down",Runter
"Move Up",Hoch
Name,Name
Selected,Ausgewählt
SKU,SKU
Status,Status
Stores,Stores
