"Add Customer Group","Add Customer Group"
"Assigned customers","Assigned customers"
"Available customers","Available customers"
"Back to Customer Groups","Back to Customer Groups"
"Customer group was created successfully.","Customer group was created successfully."
"Customer group was updated successfully.","Customer group was updated successfully."
"De-select all","De-select all"
"Delete Customer Group","Delete Customer Group"
Description,Description
"Edit Customer Group","Edit Customer Group"
"List Customer Groups","List of customer groups"
Save,Save
"Select all","Select all"
"Selected customers to assign","Selected customers to assign"
"Selected customers to de-assign","Selected customers to de-assign"
"View Customer Group","View Customer Group"
