"A customer can not be assigned to multiple users at a time.","A customer can not be assigned to multiple users at a time."
Assign,Assign
"Assign Customers","Assign Customers"
"Assign Customers to User:","Assign Customers to User:"
Assigned,Assigned
"Assigned Zed User Reference","Assigned Zed User Reference"
"Customer E-mail","Customer E-mail"
"Customer-user connections are updated.","Customer-user connections are updated."
"Customers to be assigned","Customers to be assigned"
"Deselected customers","Deselected customers"
Female,Female
"List Users","List of users"
Male,Male
Save,Save
"Select customers to assign","Select customers to assign"
"User couldn't be found","User couldn't be found"
"Your unsaved modification will be lost, are you sure to continue?","Your unsaved modification will be lost, are you sure to continue?"
