"Table name is not allowed for dynamic entity. Table: %s","Tabellenname ist für dynamische Entität nicht erlaubt. Tabelle: %s"
"Table name or table alias is not unique for dynamic entity. Table: %s","Der Tabellenname oder Tabellenalias ist für die dynamische Entität nicht eindeutig. Tabelle: %s"
"Table name is not unique for dynamic entity. Table: %s","Tabellenname ist für dynamische Entität nicht eindeutig. Tabelle: %s"
"Table alias is not unique for dynamic entity. Table: %s","Der Tabellenalias ist für die dynamische Entität nicht eindeutig. Tabelle: %s"
"Validation rule `isRequired` must be set for boolean field type.","Validierungseinstellung `isRequired` muss für den Feldtyp `boolean` gesetzt sein."
"Validation setting `isRequired` must be set for `decimal` field type.","Validierungseinstellung `isRequired` muss für den Feldtyp `decimal` gesetzt sein."
"Validation setting `scale` must be less than `precision` for `decimal` field type.","Validierungseinstellung `scale` muss kleiner sein als `precision` für den Feldtyp `decimal`. "
"Validation setting `isRequired` must be set for `integer` field type.","Validierungseinstellung `isRequired` muss für den Feldtyp `integer` gesetzt sein."
"Validation setting `min` must be less than `max` for `integer` field type.","Validierungseinstellung `min` muss kleiner sein als `max` für den Feldtyp `integer`."
"Validation setting `isRequired` must be set for `string` field type.","Validierungseinstellung `isRequired` muss für den Feldtyp `string` gesetzt sein."
"Validation setting `minLength` must be less than `maxLength` for `string` field type.","Validierungseinstellung `minLength` muss kleiner sein als `maxLength` für den Feldtyp `string`."
"Field type is not allowed for dynamic entity. Type: %s","Der Feldtyp ist für dynamische Entitäten nicht zulässig. Typ: %s"
"Identifier is required for dynamic entity configuration.","Bezeichner ist für die dynamische Entitätskonfiguration erforderlich."
"Identifier is not defined in field definitions.","Bezeichner ist nicht in Felddefinitionen definiert."
"Field definition `type` is required for dynamic entity configuration.","Felddefinition `type` ist für dynamische Entitätskonfiguration erforderlich."
"Field definition `fieldName` is required for dynamic entity configuration.","Felddefinition `fieldName` ist für dynamische Entitätskonfiguration erforderlich."
"Field definition `fieldVisibleName` is required for dynamic entity configuration.","Felddefinition `fieldVisibleName` ist für dynamische Entitätskonfiguration erforderlich."
"Field definition `isCreatable` is required for dynamic entity configuration.","Felddefinition `isCreatable` ist für dynamische Entitätskonfiguration erforderlich."
"Field definition `isEditable` is required for dynamic entity configuration.","Felddefinition `isEditable` ist für dynamische Entitätskonfiguration erforderlich."
"Resource name `%s` is not valid. Allowed characters: a-z, A-Z, 0-9, _ and - ","Der Ressourcenname `%s` ist ungültig. Erlaubte Zeichen sind: a-z, A-Z, 0-9, _ und -."
"Dynamic entity configuration for table alias `%s` not found.","Dynamische Entitätskonfiguration für Tabellenalias `%s` nicht gefunden."
"Model for table `%s` not found.","Modell für Tabelle `%s` nicht gefunden."
