"Data Import",Datenimport
Type,Typ
"Download Errors","Fehler herunterladen"
"Download Original File","Originaldatei herunterladen"
pending,Ausstehend
in_progress,"In Bearbeitung"
successful,Erfolgreich
failed,Fehlgeschlagen
imported_with_errors,"Importiert mit Fehlern"
"Imported By","Importiert von"
"Start Import","Import starten"
"Import Configuration","Konfiguration des Imports"
"Select type","Typ auswählen"
"Select the type of data you want to import","Wählen Sie den Datentyp, den Sie importieren möchten"
merchant-combined-product,Produkt
"Upload File","Datei hochladen"
"Upload a file up to %maxFileSize%","Laden Sie eine Datei mit bis zu %maxFileSize% hoch"
"Only CSV files are supported","Nur CSV-Dateien werden unterstützt"
"File Templates",Dateivorlagen
"Use the file templates below to prepare your product data for import. Once ready, you can upload the files.","Nutzen Sie die Vorlagen unten, um Produktdaten bereitzustellen. Danach können Sie die Dateien importieren."
"CSV template Product","CSV-Vorlage Produkt"
"File import has been started","Der Datei-Import wurde gestartet"
"Invalid form data","Ungültige Formulardaten"
"Product import file is missing required headers","In der Produktimportdatei fehlen die erforderlichen Kopfzeilen"
"The required field %header% is missing","Das erforderliche Feld %header% fehlt"
