"Back to Translations","Back to Translations"
"Create Translation","Create Translation"
Save,Save
"Create Translation","Create Translation"
Save,Save
"List of translations","List of translations"
Glossary,Glossary
"Translation details","Translation details"
"Edit Translation","Edit Translation"
"Translation %d was created successfully.","Translation %d was created successfully."
"Translation %d was updated successfully.","Translation %d was updated successfully."
"Glossary entry was not updated.","Glossary entry was not updated."
"Glossary with id %s doesn't exist","Glossary with id %s doesn't exist"
"Overview of Translations","Overview of Translations"
