Close,Schließen
Copyright,Copyright
Next,Weiter
"No preview available!","Keine Vorschau verfügbar!"
Previous,Vorherige
"Reset password","Passwort zurücksetzen"
Welcome,Willkommen
Settings,Einstellungen
"Log out",Abmelden
"Company logo",Firmenlogo
"Minimize/Maximize navigation bar","Navigationsleiste minimieren/maximieren"
"Recommended to add a %types%","Es wird empfohlen, %types% hinzuzufügen"
"Max %max% files up to %size%","Maximal %max% Dateien bis zu %size%"
"Upload file","Datei hochladen"
"Confirm action","Aktion bestätigen"
Confirm,Bestätigen
Cancel,Abbrechen
MB,MB
