Close,Close
Copyright,Copyright
Next,Next
"No preview available!","No preview available!"
Previous,Previous
"Reset password","Reset password"
Welcome,Welcome
Settings,Settings
"Log out","Log out"
"Company logo","Company logo"
"Minimize/Maximize navigation bar","Minimize/Maximize navigation bar"
"Recommended to add a %types%","Recommended to add a %types%"
"Max %max% files up to %size%","Max %max% files up to %size%"
"Upload file","Upload file"
"Confirm action","Confirm action"
"Set up Multi-Factor Authentication","Set up Multi-Factor Authentication"
Confirm,Confirm
Cancel,Cancel
MB,MB
Upload,Upload
Remove,Remove
"Max up to %size%. Allowed file formats %format%","Max up to %size%. Allowed file formats %format%"
"Upload image requirements","Upload image requirements"
"Confirm delete","Confirm delete"
"Are you sure you want to delete the image?","Are you sure you want to delete the image?"
