"<- Prev Step","<-vorheriger Schritt"
"Add Item","Element hinzufügen"
"Billing address",Rechnungsadresse
"Create Customer","Kunde erstellen"
"Create Order","Auftrag erstellen"
Discounts,Rabatte
"Grand Total",Gesamtsumme
Name,Name
"Next Step ->","Nächster Schritt ->"
Payment,Bezahlung
"Price to pay","Zu zahlender Preis"
Quantity,Menge
Redeem,Einlösen
Save,Speichern
Shipping,Versand
"Shipping address",Lieferadresse
Sku,SKU
"Sub Total",Zwischensumme
Submit,Absenden
"Submit order","Bestellung abschicken"
"Submit Order","Bestellung abschicken"
"Sum Gross Price","Summe Bruttopreis"
Tax,Steuer
"Unit Gross Price","Bruttopreis pro Einheit"
Vouchers,Gutscheine
