"<- Prev Step","<- Prev Step"
"Add Item","Add Item"
"Add Voucher","Add Voucher"
"Added Items","Added Items"
"Billing address","Billing address"
"Billing same as shipping","Billing same as shipping"
"Create Customer","Create Customer"
"Create Order","Create Order"
"Customer is registered successfully.","Customer is registered successfully."
Discounts,Discounts
"Dummy payment invoice","Dummy payment invoice"
"Grand Total","Grand Total"
"Invalid data provided.","Invalid data provided."
"Manual Order Entry","Manual Order Entry"
Name,Name
"Next Step ->","Next Step ->"
"Order is created successfully.","Order is created successfully."
"Order Source","Order Source"
Payment,Payment
"Price to pay","Price to pay"
Quantity,Quantity
Redeem,Redeem
Sales,Sales
Save,Save
"Select Customer","Select Customer"
"Select Products","Select Products"
"Selecting a shipment method","Selecting a shipment method"
Shipping,Shipping
"Shipping address","Shipping address"
Sku,SKU
"Sub Total","Sub Total"
Submit,Submit
"Submit order","Submit order"
"Submit Order","Submit order"
"Sum Gross Price","Sum Gross Price"
Tax,Tax
"Unit Gross Price","Unit Gross Price"
Vouchers,Vouchers
