ID,ID
Name,Name
Period,Period
Status,Status
Priority,Priority
Group,Group
Store,Store
Actions,Actions
Active,Active
Inactive,Inactive
"Valid From","Valid From"
"Valid To","Valid To"
"Store Relation","Store Relation"
"Calculator Type","Calculator Type"
Fixed,Fixed
Percentage,Percentage
"Item Condition","Item Condition"
"Order Condition","Order Condition"
"Merchant Commissions","Merchant Commissions"
"View Merchant Commission","View Merchant Commission"
"Import Merchant Commissions","Import Merchant Commissions"
"Merchant Commission with ID ""%id%"" doesn\'t exist.","Merchant Commission with ID ""%id%"" doesn\'t exist."
"Row n°","Row n°"
Error,Error
"Merchant commissions imported successfully.","Merchant commissions imported successfully."
"The following headers are missing in the uploaded CSV file: %s.","The following headers are missing in the uploaded CSV file: %s."
"The following columns are empty in the uploaded CSV file: %s.","The following columns are empty in the uploaded CSV file: %s."
"Troubleshooting Tips","Troubleshooting Tips"
Documentation,Documentation
"Import commission file","Import commission file"
"Get started with creating commissions by importing your CSV file","Get started with creating commissions by importing your CSV file"
"Download template","Download template"
"Import CSV file","Import CSV file"
"Errors found inside your file","Errors found inside your file"
"Merchant Commission Calculation","Merchant Commission Calculation"
"Merchant Commission Amounts","Merchant Commission Amounts"
"Merchant Allow List","Merchant Allow List"
Upload,Upload
Import,Import
