"Tax set with name ""%s%"" not found.","Steuersatz mit dem Namen ""%s%"" nicht gefunden."
"""%s%"" must be defined in the data set.","""%s%"" muss im Datensatz definiert sein."
"""%s1%"" must have one of the following values: ""%s2%"". Given: ""%s3%""","""%s1%"" muss einen der folgenden Werte haben: ""%s2%"". Gegeben: ""%s3%"""
"The category with key ""%s%"" was not found in existing categories list.","The category with key ""%s%"" wurde in der Liste der vorhandenen Kategorien nicht gefunden."
"The product abstract cannot be created without a URL. Required column ""%s%"" is missing.","Das Produktabstrakt kann nicht ohne eine URL erstellt werden. Die erforderliche Spalte ""%s%"" fehlt."
"Store relations should be separated by ""%s1%"" delimiter, but ""%s2%"" found.","Shop-Beziehungen sollten durch das Trennzeichen ""%s1%"" getrennt werden, aber ""%s2%"" gefunden."
"Product name is required for creating a product ""%s1%"" with locale ""%s2%"".","Produktname ist für die Erstellung eines Produkts ""%s1%"" mit Gebietsschema ""%s2%"" erforderlich."
"Product stock value for key ""%s1%"" must be numeric. Provided value: ""%s2%"".","Der Lagerbestandswert für den Schlüssel ""%s1%"" muss numerisch sein. Angegebener Wert: ""%s2%""."
"Concrete product with SKU ""%s%"" already imported.","Konkretes Produkt mit SKU ""%s%"" bereits importiert."
"Abstract product with SKU ""%s%"" has been already imported.","Abstraktes Produkt mit SKU ""%s%"" wurde bereits importiert."
"Price value of ""%s1%"" must be numeric. Provided value: ""%s2%""","Der Preiswert von ""%s1%"" muss numerisch sein. Angegebener Wert: ""%s2%"""
"Product abstract with SKU ""%s%"" can only be updated by the merchant who owns it.","Produktabstrakt mit SKU ""%s%"" kann nur von dem Händler aktualisiert werden, dem es gehört."
"Product URL ""%s%"" is already taken.","Produkt-URL ""%s%"" ist bereits vergeben."
"Locale ""%s%"" not supported!","Gebietsschema ""%s%"" wird nicht unterstützt!"
"Required column data ""%s%"" is missing.","Erforderliche Spaltendaten ""%s%"" fehlen."
"Product with SKU ""%s%"" can only be updated by the merchant who owns it.","Produkt mit SKU ""%s%"" kann nur von dem Händler aktualisiert werden, dem es gehört."
"Required key ""%s%"" is missing in data set.","Erforderlicher Schlüssel ""%s%"" fehlt im Datensatz."
"SKU is required for product abstract import. ""%s%"" is missing in the data set.","SKU ist für den Import von Produktabstrakten erforderlich. ""%s%"" fehlt im Datensatz."
"SKU is required for product import. ""%s%"" is missing in the data set.","SKU ist für den Produktimport erforderlich. ""%s%"" fehlt im Datensatz."
"Product abstract categories must be delimited by ""%s%"" instead of "","".","Kategorien von Produktabstrakten müssen durch ""%s%"" anstelle von "","" getrennt werden."
"The product abstract cannot be created without a name. Required column ""%s%"" is missing.","Das Produktabstrakt kann nicht ohne einen Namen erstellt werden. Die erforderliche Spalte ""%s%"" fehlt."
"Expected a key ""%s%"" in current data set.","Ein Schlüssel ""%s%"" wird im aktuellen Datensatz erwartet."
"Price mode ""%s%"" not supported.","Preismodus ""%s%"" wird nicht unterstützt."
"Price type ""%s%"" unrecognisable.","Preistyp ""%s%"" nicht erkennbar."
"Dataset is missing context transfer.","Im Datensatz fehlt die Kontextübertragung."
"Dataset context transfer is missing merchant ID.","Bei der Kontextübertragung des Datensatzes fehlt die Händler-ID."
"Warehouses can only be accessed by the merchants who own them.","Lager können nur von den Händlern zugegriffen werden, denen sie gehören."
"New product abstract must have at least one price defined.","Für ein neues Produktabstrakt muss mindestens ein Preis definiert sein."
"Store name ""%s%"" is unknown.","Der Shopname ""%s%"" ist unbekannt."
"Cannot import product store relation for product abstract with SKU ""%s%"". Product abstract not found.","Kann die Produkt-Shop-Beziehung für das Produktabstrakt mit SKU ""%s%"" nicht importieren. Produktabstrakt nicht gefunden."
