"Tax set with name ""%s%"" not found.","Tax set with name ""%s%"" not found."
"""%s%"" must be defined in the data set.","""%s%"" must be defined in the data set."
"""%s1%"" must have one of the following values: ""%s2%"". Given: ""%s3%""","""%s1%"" must have one of the following values: ""%s2%"". Given: ""%s3%"""
"The category with key ""%s%"" was not found in existing categories list.","The category with key ""%s%"" was not found in existing categories list."
"The product abstract cannot be created without a URL. Required column ""%s%"" is missing.","The product abstract cannot be created without a URL. Required column ""%s%"" is missing."
"Store relations should be separated by ""%s1%"" delimiter, but ""%s2%"" found.","Store relations should be separated by ""%s1%"" delimiter, but ""%s2%"" found."
"Product name is required for creating a product ""%s1%"" with locale ""%s2%"".","Product name is required for creating a product ""%s1%"" with locale ""%s2%""."
"Product stock value for key ""%s1%"" must be numeric. Provided value: ""%s2%"".","Product stock value for key ""%s1%"" must be numeric. Provided value: ""%s2%""."
"Concrete product with SKU ""%s%"" already imported.","Concrete product with SKU ""%s%"" already imported."
"Abstract product with SKU ""%s%"" has been already imported.","Abstract product with SKU ""%s%"" has been already imported."
"Price value of ""%s1%"" must be numeric. Provided value: ""%s2%""","Price value of ""%s1%"" must be numeric. Provided value: ""%s2%"""
"Product abstract with SKU ""%s%"" can only be updated by the merchant who owns it.","Product abstract with SKU ""%s%"" can only be updated by the merchant who owns it."
"Product URL ""%s%"" is already taken.","Product URL ""%s%"" is already taken."
"Locale ""%s%"" not supported!","Locale ""%s%"" not supported!"
"Required column data ""%s%"" is missing.","Required column data ""%s%"" is missing."
"Product with SKU ""%s%"" can only be updated by the merchant who owns it.","Product with SKU ""%s%"" can only be updated by the merchant who owns it."
"Required key ""%s%"" is missing in data set.","Required key ""%s%"" is missing in data set."
"SKU is required for product abstract import. ""%s%"" is missing in the data set.","SKU is required for product abstract import. ""%s%"" is missing in the data set."
"SKU is required for product import. ""%s%"" is missing in the data set.","SKU is required for product import. ""%s%"" is missing in the data set."
"Product abstract categories must be delimited by ""%s%"" instead of "","".","Product abstract categories must be delimited by ""%s%"" instead of "",""."
"The product abstract cannot be created without a name. Required column ""%s%"" is missing.","The product abstract cannot be created without a name. Required column ""%s%"" is missing."
"Expected a key ""%s%"" in current data set.","Expected a key ""%s%"" in current data set."
"Price mode ""%s%"" not supported.","Price mode ""%s%"" not supported."
"Price type ""%s%"" unrecognisable.","Price type ""%s%"" unrecognisable."
"Dataset is missing context transfer.","Dataset is missing context transfer."
"Dataset context transfer is missing merchant ID.","Dataset context transfer is missing merchant ID."
"Warehouses can only be accessed by the merchants who own them.","Warehouses can only be accessed by the merchants who own them."
"New product abstract must have at least one price defined.","New product abstract must have at least one price defined."
"Store name ""%s%"" is unknown.","Store name ""%s%"" is unknown."
"Cannot import product store relation for product abstract with SKU ""%s%"". Product abstract not found.","Cannot import product store relation for product abstract with SKU ""%s%"". Product abstract not found."
