merchant-combined-product-offer,"Product offer"
"CSV template Product Offer","CSV template Product Offer"
"Offers can only be updated by the merchants who own them.","Offers can only be updated by the merchants who own them."
"Store ""%store%"" is not supported.","Store ""%store%"" is not supported."
"Price type ""%priceType%"" is not supported.","Price type ""%priceType%"" is not supported."
"Currency ""%currency%"" is not supported.","Currency ""%currency%"" is not supported."
"Currency ""%currency%"" is not supported by ""%store%"" store.","Currency ""%currency%"" is not supported by ""%store%"" store."
"Warehouses can only be accessed by the merchants who own them.","Warehouses can only be accessed by the merchants who own them."
"Quantity is required for new product offer.","Quantity is required for new product offer."
"Stock quantity must be numeric.","Stock quantity must be numeric."
"Stock quantity must be positive.","Stock quantity must be positive."
"Store ""%store%"" not found.","Store ""%store%"" not found."
"Store relations are required for new product offers.","Store relations are required for new product offers."
"Cannot determine if the product offer is new.","Cannot determine if the product offer is new."
"Product not found.","Product not found."
"Product with SKU ""%sku%"" not found.","Product with SKU ""%sku%"" not found."
"Invalid date format of validity start date.","Invalid date format of validity start date."
"Invalid date format of validity end date.","Invalid date format of validity end date."
"The required field ""%field%"" is missing.","The required field ""%field%"" is missing."
"Merchant not found.","Merchant not found."
"Product offer not found","Product offer not found"
"Invalid price data key ""%key%"".","Invalid price data key ""%key%""."
"Invalid stock data key ""%key%"".","Invalid stock data key ""%key%""."
"The SKU cannot be changed for existing product offers.","The SKU cannot be changed for existing product offers."
"The data set must contain both net and gross prices for product offer.","The data set must contain both net and gross prices for product offer."
