"Merchant Relations","Merchant Relations"
"Merchant Relation","Merchant Relation"
Company,Company
"Business Unit Owner","Business Unit Owner"
"Business Units","Business Units"
Created,Created
From,From
To,To
"Select Company","Select Company"
Save,Save
"Manage Relation","Manage Relation"
"Confirm deletion","Confirm deletion"
Cancel,Cancel
"Created date","Created date"
"Company Details","Company Details"
"Delete merchant relation","Delete merchant relation"
"Are you sure you want to delete this merchant relation?","Are you sure you want to delete this merchant relation?"
Delete,Delete
Relations,Relations
View,View
"View all","View all"
"Companies with the most merchant relations","Companies with the most merchant relations"
"B2B Contracts","B2B Contracts"
"Merchant Relation is deleted","Merchant Relation is deleted"
"Merchant Relation is updated","Merchant Relation is updated"
"Merchant relation is not found for ID %d","Merchant relation is not found for ID %d"
"No assigned business units","No assigned business units"
"Internal Comments","Internal Comments"
