"Back to Merchant Relationship Thresholds","Zurück zu Schwellenwerten für die Händlerbeziehung"
"Edit Merchant Relationship Threshold","Grenzwert der Händlerbeziehung bearbeiten"
"Enter minimum order value","Mindestbestellwert angeben"
"Hard Threshold","Harter Grenzwert"
"Merchant relationship name","Name der Händlerbeziehung"
"Merchant relationships",Handelsbeziehungen
Message,Nachricht
Save,Speichern
"Soft Threshold","Weicher Grenzwert"
"Soft Threshold with fixed fee","Weicher Grenzwert mit fester Gebühr"
"Soft Threshold with flexible fee","Weicher Grenzwert mit flexibler Gebühr"
"Soft Threshold with message","Weicher Grenzwert mit Nachricht"
"Store and Currency","Shop und Währung"
"The Merchant Relationship Threshold is saved successfully.","Der Grenzwert der Händlerbeziehung wurde erfolgreich gespeichert."
Thresholds,Grenzwerte
