"Back to Merchant Relationship Thresholds","Back to Merchant Relationship Thresholds"
"Edit Merchant Relationship Threshold","Edit Merchant Relationship Threshold"
"Enter minimum order value","Enter minimum order value"
"Hard Threshold","Hard Threshold"
"Merchant relationship name","Merchant relationship name"
"Merchant relationships","Merchant relationships"
Message,Message
Save,Save
"Soft Threshold","Soft Threshold"
"Soft Threshold with fixed fee","Soft Threshold with fixed fee"
"Soft Threshold with flexible fee","Soft Threshold with flexible fee"
"Soft Threshold with message","Soft Threshold with message"
"Store and Currency","Store and Currency"
"The Merchant Relationship Threshold is saved successfully.","The Merchant Relationship Threshold is saved successfully."
Thresholds,Thresholds
Soft,Soft
Hard,Hard
"The Merchant Relationship Thresholds is saved successfully.","The Merchant Relationship Thresholds is saved successfully."
"You can use the placeholders <code>{{threshold}}</code> and <code>{{fee}}</code>","You can use the placeholders <code>{{threshold}}</code> and <code>{{fee}}</code>"
"BU name","BU name"
