"Overview of Orders",Auftragsübersicht
"List of Orders","Liste der Bestellungen"
"Order Reference",Bestellnummer
"Marketplace Order Reference","Bestellreferenz für den Marktplatz"
Created,Erstellt
Customer,Kunde
Email,Email
"Order State",Bestellstatus
"Grand Total",Gesamtsumme
"Number of items","Anzahl der Teile"
Actions,Aktionen
View,Aussicht
"Merchant Order Overview",Händlerbestellübersicht
Reference,Referenz
Name,Name
"Previous orders count","Vorherige Bestellungen zählen"
"Billing address",Rechnungsadresse
"Merchant Order Reference",Händlerbestellreferenz
"Marketplace Order Reference","Bestellreferenz für den Marktplatz"
"Order date",Auftragsdatum
Totals,Summen
Option,Möglichkeit
Subtotal,Zwischensumme
Discount,Rabatt
 "Cancelled amount","Stornierter Betrag"
"GRAND TOTAL","GESAMTSUMME"
"Total taxes","Gesamtsteuern"
"Remuneration total","Vergütung insgesamt"
"Merchant order doesn't exist.","Händlerbestellung existiert nicht."
