"Custom CSS class","Spezifische CSS Klasse"
"Date ""Valid from"" cannot be later than ""Valid to"".","Das ""Gültig ab""-Datum kann nicht nach dem ""Gültig bis""-Datum liegen."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Das ""Gültig bis""-Datum kann nicht vor dem ""Gültig ab""-Datum liegen."
"Edit Navigation Element: ","Navigationselement bearbeiten:"
"External URL","Externe URL"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Ist ein Navigationsknoten nicht aktiv, sind dieses und alle Navigationselemente darunter nicht sichtbar."
"Incorrect request data.","Inkorrekte Abfragedaten"
"Links should start with ""/"".","Links müssen mit ""/"" beginnen."
"List of navigation elements","Liste der Navigationselemente"
Navigation,Navigation
"Navigation element %d was activated successfully.","Navigationselement %d wurde erfolgreich aktiviert."
"Navigation element %d was created successfully.","Navigationselement %d wurde erfolgreich erstellt."
"Navigation element %d was deactivated successfully.","Navigationselement %d wurde erfolgreich deaktiviert."
"Navigation element %d was deleted successfully.","Navigationselement %d wurde erfolgreich gelöscht."
"Navigation element %d was not found.","Navigationselement %d wurde nicht gefunden."
"Navigation element %d was updated successfully.","Navigationselement %d wurde erfolgreich aktualisiert."
"Navigation element details","Details des Navigationselements"
"Navigation node ""%s"" was created successfully.","Navigationsknoten ""%s"" wurde erfolgreich erstellt."
"Navigation node ""%s"" was deleted successfully.","Navigationsknoten ""%s"" wurde erfolgreich gelöscht."
"Navigation node ""%s"" was updated successfully.","Navigationsknoten ""%s"" wurde erfolgreich aktualisiert."
"Navigation tree updated successfully.","Navigationsbaum erfolgreich aktualisiert."
"Navigation with id %s doesn't exist","Navigation mit der ID %s existiert nicht"
"Navigation with the same key already exists.","Navigation mit der gleichen ID %s existiert bereits."
"This value is not a valid category URL for the given locale.","Dieser Wert ist keine gültige URL einer Kategorie für diese Region."
"This value is not a valid CMS page URL for the given locale.","Dieser Wert ist keine gültige URL einer CMS Seite für diese Locale."
"Type 3 letters to search by category name.","Geben Sie 3 Buchstaben ein, um nach Kategorienamen zu suchen."
"Type 3 letters to search by CMS page name.","Geben Sie 3 Buchstaben ein, um nach dem Namen einer CMS-Seite zu suchen."
"You can drag and drop to define item order.","Durch Drag and Drop können Sie die Artikelreihenfolge festlegen."
