"Custom CSS class","Custom CSS class"
"Date ""Valid from"" cannot be later than ""Valid to"".","Date ""Valid from"" cannot be later than ""Valid to""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Date ""Valid to"" cannot be earlier than ""Valid from""."
"Edit Navigation Element: ","Edit Navigation Element:"
"External URL","External URL"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","If a navigation node is inactive, then this item and all navigation items under this one will not be visible."
"Incorrect request data.","Incorrect request data."
"Links should start with ""/"".","Links should start with ""/""."
"List of navigation elements","List of navigation elements"
Navigation,Navigation
"Navigation element %d was activated successfully.","Navigation element %d was activated successfully."
"Navigation element %d was created successfully.","Navigation element %d was created successfully."
"Navigation element %d was deactivated successfully.","Navigation element %d was deactivated successfully."
"Navigation element %d was deleted successfully.","Navigation element %d was deleted successfully."
"Navigation element %d was not found.","Navigation element %d was not found."
"Navigation element %d was updated successfully.","Navigation element %d was updated successfully."
"Navigation element details","Navigation element details"
"Navigation node ""%s"" was created successfully.","Navigation node ""%s"" was created successfully."
"Navigation node ""%s"" was deleted successfully.","Navigation node ""%s"" was deleted successfully."
"Navigation node ""%s"" was updated successfully.","Navigation node ""%s"" was updated successfully."
"Navigation tree updated successfully.","Navigation tree updated successfully."
"Navigation with id %s doesn't exist","Navigation with id %s doesn't exist"
"Navigation with the same key already exists.","Navigation with the same key already exists."
"This value is not a valid category URL for the given locale.","This value is not a valid category URL for the given locale."
"This value is not a valid CMS page URL for the given locale.","This value is not a valid CMS page URL for the given locale."
"Type 3 letters to search by category name.","Type 3 letters to search by category name."
"Type 3 letters to search by CMS page name.","Type 3 letters to search by CMS page name."
"You can drag and drop to define item order.","You can drag and drop to define item order."
