Currency,Currency
"Enter a quantity and the item price that should be applied if customer buys above that threshold","Enter a quantity and the item price that should be applied if customer buys above that threshold"
"Price Dimension Name","Price Dimension Name"
"Price Type","Price Type"
Store,Store
"Save and add more rows","Save and add more rows"
"Save and exit","Save and exit"
"Volume prices successfully saved.","Volume prices successfully saved."
"Volume prices","Volume prices"
"Edit volume prices for product","Edit volume prices for product"
"Edit volume prices","Edit volume prices"
