Attributes,Attributes
Categories,Categories
Currencies,Currencies
Currency,Currency
Default,Default
Description,Description
Image,Image
"Image Set","Image Set"
Images,Images
"Manage Product","Manage Product"
Name,Name
Offline,Offline
Online,Online
"Approval Status","Approval Status"
waiting_for_approval,"Waiting for Approval"
approved,Approved
denied,Denied
draft,Draft
"Product successfully created!","Product successfully created!"
"Please resolve all errors.","Please resolve all errors."
Price,Price
Products,Products
"Product Details","Product Details"
"Provide a name","Provide a name"
"Provide description","Provide description"
Save,Save
Select,Select
"Select Stores","Select Stores"
"Select Tax Set","Select Tax Set"
"Select Categories","Select Categories"
SKU,SKU
"Search by SKU, Name","Search by SKU, Name"
Store,Store
Stores,Stores
"Super Attributes","Super Attributes"
"Tax Set","Tax Set"
"The Product is saved.","The Product is saved."
"The value cannot be empty. Please fill in this input.","The value cannot be empty. Please fill in this input."
Variants,Variants
Visibility,Visibility
"Success! The Price is deleted.","Success! The Price is deleted."
"Something went wrong, please try again.","Something went wrong, please try again."
"Product prices saved successfully.","Product prices saved successfully."
Net,Net
Gross,Gross
Delete,Delete
Add,Add
Active,Active
Inactive,Inactive
Search,Search
Status,Status
"Valid From","Valid From"
"Valid To","Valid To"
Validity,Validity
"Validity Dates & Time","Validity Dates & Time"
"Enabling an option below will overwrite the existing input.","Enabling an option below will overwrite the existing input."
"Bulk edit %number% variants","Bulk edit %number% variants"
"The first date cannot be later than the second one.","The first date cannot be later than the second one."
"The first date is the same as the second one.","The first date is the same as the second one."
"The second date cannot be earlier than the first one.","The second date cannot be earlier than the first one."
From,From
To,To
"Bulk edit","Bulk edit"
Searchability,Searchability
"Use Abstract Product prices","Use Abstract Product prices"
"Select Locales","Select Locales"
Stock,Stock
Quantity,Quantity
"Always in stock","Always in stock"
"Enter quantity","Enter quantity"
"Reserved Stock","Reserved Stock"
"This concrete product is not owned by this merchant.","This concrete product is not owned by this merchant."
"Create Abstract Product","Create Abstract Product"
English,English
German,German
"The rest of the locales will be defined once the product has been created.","The rest of the locales will be defined once the product has been created."
"Create an Abstract Product","Create an Abstract Product"
"with 1 Concrete Product","with 1 Concrete Product"
"Autogenerate SKU","Autogenerate SKU"
"Same as Abstract Product","Same as Abstract Product"
"Concrete Products’ Preview","Concrete Products’ Preview"
"with multiple Concrete Products","with multiple Concrete Products"
"Super Attribute","Super Attribute"
Values,Values
"No concretes created yet","No concretes created yet"
"to be created","to be created"
"Autogenerate SKUs","Autogenerate SKUs"
"Same Name as Abstract Product","Same Name as Abstract Product"
"Super attribute value","Super attribute value"
"Name default","Name default"
"Invalid value provided. Please use only alphanumeric characters and . - _","Invalid value provided. Please use only alphanumeric characters and . - _"
"Concrete Product SKU already exists","Concrete Product SKU already exists"
"SKU Prefix already exists","SKU Prefix already exists"
"Abstract product has 1 concrete product","Abstract product has 1 concrete product"
"Abstract product has multiple concrete products","Abstract product has multiple concrete products"
"The value cannot be empty. Please select one.","The value cannot be empty. Please select one."
"SKU Prefix","SKU Prefix"
"SKU Prefix already exists in collection","SKU Prefix already exists in collection"
"Enter SKU prefix","Enter SKU prefix"
"Add Image Set","Add Image Set"
"Set name","Set name"
"Delete Image Set","Delete Image Set"
"Image Ordered","Image Ordered"
"Small Image URL","Small Image URL"
"Large Image URL","Large Image URL"
"Add Image","Add Image"
"Abstract Product","Abstract Product"
"Abstract Product Details","Abstract Product Details"
"Concrete Products","Concrete Products"
"The attribute %attribute% already exists. Please define another one","The attribute %attribute% already exists. Please define another one"
"Please fill in at least one value","Please fill in at least one value"
"Success! The Attribute is deleted","Success! The Attribute is deleted"
"The value cannot be blank. Please fill in this input","The value cannot be blank. Please fill in this input"
"Provide meta title","Provide meta title"
"Provide meta keywords","Provide meta keywords"
"Provide meta description","Provide meta description"
"Concrete Product","Concrete Product"
"Concrete Product is active","Concrete Product is active"
"Use Abstract Product name for all locales","Use Abstract Product name for all locales"
"Use Abstract Product description for all locales","Use Abstract Product description for all locales"
"Use Abstract Product price for all locales","Use Abstract Product price for all locales"
"Use Abstract Product images for all locales","Use Abstract Product images for all locales"
"Super attribute was not deleted","Super attribute was not deleted"
"Add Concrete Products","Add Concrete Products"
Create,Create
"This value should not be blank.","This value should not be blank."
"Combination of super attribute values already exists.","Combination of super attribute values already exists."
"This abstract product is not owned by this merchant.","This abstract product is not owned by this merchant."
"Invalid value provided. Please use only alphanumeric characters and  . - _","Invalid value provided. Please use only alphanumeric characters and  . - _"
"This value needs to be unique.","This value needs to be unique."
"This value already exists.","This value already exists."
"Success! %d Concrete Products are saved.","Success! %d Concrete Products are saved."
"Success! %d Concrete Product is saved.","Success! %d Concrete Product is saved."
"The approval status was updated.","The approval status was updated"
"The approval status was not updated.","The approval status was not updated."
"Abstract product was not found.","Abstract product was not found."
"Send for Approval","Send for Approval"
