"Back to Packaging Types","Back to Packaging Types"
"Create Packaging Type","Create Packaging Type"
"Edit Packaging Type","Edit Packaging Type"
Key,Key
"List of Packaging Types","List of Packaging Types"
"Overview of Packaging Types","Overview of Packaging Types"
"Packaging Type details","Packaging Type details"
"Product packaging type ""%s"" successfully deleted.","Product packaging type ""%s"" successfully deleted."
"Product packaging type ""%s"" successfully updated.","Product packaging type ""%s"" successfully updated."
"Product packaging unit type ""%s"" has not been deleted.","Product packaging unit type ""%s"" has not been deleted."
"Product packaging unit type ""%s"" has not been updated.","Product packaging unit type ""%s"" has not been updated."
"Product packaging unit type created successfully.","Product packaging unit type created successfully."
"Product packaging unit type has not been created.","Product packaging unit type has not been created."
Save,Save
Translations,Translations
