"Abstract product name:","Abstract product name:"
Activate,Activate
"Assign related products","Assign related products"
"Create relation","Create relation"
Deactivate,Deactivate
Edit,Edit
"Is active:","Is active:"
"List Product relations","List of product relations"
"Please select product from the list below","Please select product from the list below"
"Relation type:","Relation type:"
Save,Save
"Select product","Select product"
"Selected product","Selected product"
Sku:,Sku:
"Abstract product name","Abstract product name"
"Relation type","Relation type"
"Number of products","Number of products"
"View in Shop","View in Shop"
"View relations","View relations"
"Related products","Related products"
"Add Product Relations","Add Product Relations"
"Update regularly: When you have this selected, this product relation will be updated automatically on regular basis according to the relation's conditions.","Update regularly: When you have this selected, this product relation will be updated automatically on regular basis according to the relation's conditions."
Select,Select
"related-products","related-products"
"up-selling","up-selling"
"Edit Product Relations","Edit Product Relations"
"Assign related products","Assign related products"
"Product relation successfully created","Product relation successfully created"
"Failed to delete relation.","Failed to delete relation."
"Product relation successfully modified","Product relation successfully modified"
"Product relation with id "%d" not found.","Product relation with id "%d" not found."
"Relation successfully activated.","Relation successfully activated."
"Relation successfully deactivated.","Relation successfully deactivated."
"Product relation with id "%d" not found.","Product relation with id "%d" not found."
"Selected product already has "%s" relation type.","Selected product already has "%s" relation type."
