"Abstract product name","Abstract product name"
"Abstract product name:","Abstract product name:"
Activate,Activate
"Add Product Relations","Add Product Relations"
"Assign related products","Assign related products"
"Create relation","Create relation"
Deactivate,Deactivate
Edit,Edit
"Edit Product Relations","Edit Product Relations"
"Failed to delete relation.","Failed to delete relation."
"Is active:","Is active:"
"List Product relations","List of product relations"
"Number of products","Number of products"
"Please select product from the list below","Please select product from the list below"
"Product relation successfully created","Product relation successfully created"
"Product relation successfully modified","Product relation successfully modified"
"Product relation with id ""%d"" not found.","Product relation with id ""%d"" not found."
"Related products","Related products"
related-products,"Related products"
"Relation successfully activated.","Relation successfully activated."
"Relation successfully deactivated.","Relation successfully deactivated."
"Relation #%d successfully deleted.","Relation #%d successfully deleted."
"Relation type","Relation type"
"Relation type:","Relation type:"
Save,Save
Select,select
"Select product","Select product"
"Selected product","Selected product"
"Selected product already has ""%s"" relation type.","Selected product already has ""%s"" relation type."
Sku:,Sku:
up-selling,Upselling
"Update regularly: When you have this selected, this product relation will be updated automatically on regular basis according to the relation's conditions.","Update regularly: When you have this selected, this product relation will be updated automatically on regular basis according to the relation's conditions."
"View in Shop","View in Shop"
"View Product Relation: %s","View Product Relation: %s"
"Product relation key","Product relation key"
"Update regularly","Update regularly"
Status,Status
Active,Active
Inactive,Inactive
"Product owning the relation","Product owning the relation"
"General information","General information"
"Store relation","Store relation"
Stores,Stores
"Product relation #%d not found","Product relation #%d not found"
"It is impossible to update product relation #%d","It is impossible to update product relation #%d"
General,General
"Select Stores","Select Stores"
"Delete Product Relation","Delete Product Relation"
"Are you sure about deleting this product relation?","Are you sure about deleting this product relation?"
"No, I want to keep this product relation","No, I want to keep this product relation"
