Activate,Activate
Active,Active
"Add image","Add image"
"Add image set","Add image set"
"Create Product Set","Create Product Set"
Deactivate,Deactivate
Default,Default
"Delete image","Delete image"
"Delete image set","Delete image set"
"Deselect All","Deselect All"
"Deselected products","Deselected products"
Edit,Edit
ID,ID
"Image Set","Image Set"
"Image Set Name","Image Set Name"
Inactive,Inactive
Keywords,Keywords
"Large Image URL","Large Image URL"
"List of Sets","List of sets"
Name,Name
Position,Position
Preview,Preview
Price,Price
"Product details","Product details"
"Product Sets","Product Sets"
"Products in this Set","Products in this Set"
"Products to be assigned","Products to be assigned"
"Products to be deassigned","Products to be deassigned"
"Reorder Product Sets","Reorder Product Sets"
Save,Save
"Select All","Select all"
"Select products to assign","Select Products to assign"
Selected,Selected
"Selected products","Selected products"
SEO,SEO
SKU,SKU
"Small Image URL","Small Image URL"
Status,Status
Submit,Submit
Title,Title
URL,Url
View,View
Weight,Weight
"Weight defines sorting order. Product Sets with higher numbers listed first.","Weight defines sorting order. Product Sets with higher numbers listed first."
