"<1d | 1d-7d | >7d","<1Tag| 1-7Tage | >7Tag"
"Address successfully updated.","Adresse erfolgreich aktualisiert."
Addresses,Adressen
"All orders of the customer","Alle Bestellungen des Kunden"
"Back to Orders","Zurück zu Bestellungen"
"Canceled amount","Stornierter Betrag"
"Cart Notes","Einkaufswagen Notizen"
Comments,Kommentare
"Customer Full Name ","Vollständiger Name des Kunden"
"Customer successfully updated.","Kunde wurde erfolgreich aktualisiert."
Discount,Rabatt
"GRAND TOTAL",Gesamtsumme
"Grand Total",Gesamtsumme
"Hide history","Historie ausblenden"
"Included tax amount","Enthaltener Steuerbetrag"
"Item total","Artikel Gesamt"
Legend,Legende
"List of orders","Liste der Bestellungen"
Matrix,Matrix
"Number of Items","Menge der Artikel"
Option,Option
"Order Matrix",Bestellungsmatrix
"Order Source","Quelle der Bestellung"
"Order State",Bestellungsstatus
Orders,Bestellungen
"Overview of Order Matrix","Übersicht der Bestellmatrix"
"Overview of Orders","Übersicht der Bestellungen"
Payments,Zahlungen
Product,Produkt
Quantity,Menge
Sales,Verkauf
Save,Speichern
"Send Message","Nachricht senden"
Shipment,Versand
"Show history","Historie anzeigen"
"Show less","Weniger anzeigen"
"Show more","Mehr anzeigen"
Sku,SKU
State,Status
"Sub total",Zwischensumme
Totals,Gesamtsummen
"Trigger all matching states","Alle passenden Stati antriggern"
"Trigger event","Trigger Event"
"Unique Product Quantity","Unique Product Quantity"
"Unit Price",Stückpreis
"Variant Details",Variantendetails
"View Order","Bestellung anzeigen"
"View Order:","Bestellung anzeigen:"
