"<1d | 1d-7d | >7d","<1d | 1d-7d | >7d"
"Back to Orders","Back to Orders"
"Canceled amount","Canceled amount"
Comments,Comments
Discount,Discount
"GRAND TOTAL","Grand Total"
"Hide history","Hide history"
"Included tax amount","Included tax amount"
"Item total","Item Total"
Legend,Legend
Option,Option
"Overview of Order Matrix","Overview of Order Matrix"
"Overview of Orders","Overview of Orders"
Product,Product
Quantity,Quantity
Save,Save
"Send Message","Send Message"
Shipment,Shipment
"Show history","Show history"
"Show less","Show less"
"Show more","Show more"
Sku,SKU
State,State
"Sub total","Sub Total"
"Trigger event","Trigger event"
"Unit Price","Unit Price"
"Variant Details","Variant Details"
"View Order","View Order"
"View Order:","View Order:"
