Created,Erstellt
Customer,Customer
Email,E-Mail
"Grand Total",Gesamtsumme
"Items States","Items States"
"Merchant Reference",Händler-Referenznummer
"No. of Items","No. of Items"
Orders,Bestellungen
Reference,Reference
Search,Suche
States,States
Store,Store
Stores,Stores
Details,Details
Order,Bestellung
"Order date",Bestelldatum
"Number of products","Anzahl der Produkte"
Items,Artikel
Shipments,Liefermethoden
Subtotal,Zwischensumme
Shipment,Versand
"Included Tax Amount","Enthaltener Steuerbetrag"
"Client name",Kundenname
"Client email",Kunden-e-mail
"Previous orders","Vorherige Bestellungen"
Overview,Überblick
Totals,Summen
"From the last %daysNumber% days","From the last %daysNumber% days"
"Manage Orders","Manage Orders"
New,New
"Per Store","Per Store"
