"Edit Global threshold","Globalen Grenzwert bearbeiten"
"Edit Threshold Settings","Schwellwerteinstellungen bearbeiten"
"Global threshold","Allgemeiner Grenzwert"
"Minimum Hard Threshold","Harter minimaler Schwellenwert"
"Maximum Hard Threshold","Harter maximaler Schwellenwert"
"Minimum Order Value settings saved.","Einstellungen für Mindestbestellwert gespeichert."
Save,Speichern
"Soft Threshold","Weicher Grenzwert"
"The Global Threshold is saved successfully.","Der globale Grenzwert wurde erfolgreich gespeichert."
"Threshold Settings",Grenzwert-Einstellungen
Threshold,Schwellenwert
"You can use the the placeholders <b>{{threshold}}</b> <b>{{fee}}</b>","Sie können die Platzhalter <b>{{threshold}}</b> <b>{{fee}}</b> benutzen"
