"Edit Global threshold","Edit Global threshold"
"Edit Threshold Settings","Edit Threshold Settings"
"Global threshold","Global threshold"
"Hard Threshold","Hard Threshold"
"Minimum Order Value settings saved.","Minimum Order Value settings saved."
Save,Save
"Soft Threshold","Soft Threshold"
"The Global Threshold is saved successfully.","The Global Threshold is saved successfully."
"Threshold Settings","Threshold Settings"
Threshold,Threshold
"You can use the the placeholders <b>{{threshold}}</b> <b>{{fee}}</b>","You can use the the placeholders <b>{{threshold}}</b> <b>{{fee}}</b>"
"You can use the placeholders <code>{{threshold}}</code> and <code>{{fee}}</code>","You can use the placeholders <code>{{threshold}}</code> and <code>{{fee}}</code>"
"The Global Thresholds is saved successfully.","The Global Thresholds is saved successfully."
"Store and Currency","Store and Currency"
"Enter threshold value","Enter threshold value"
"Threshold settings","Threshold settings"
Soft,Soft
Hard,Hard
