"Forgot password?","Forgot password?"
Login,Login
Reset,Reset
"Email Address","Email Address"
"Request token is missing!","Request token is missing!"
"Invalid request token!","Invalid request token!"
"Password updated.","Password updated."
"Could not update password.","Could not update password."
Password,Password
"The password fields must match.","The password fields must match."
"Repeat Password","Repeat Password"
"Recover password","Recover password"
"If there is an account associated with this email, you will receive an Email with further instructions.","If there is an account associated with this email, you will receive an Email with further instructions."
"Your password must include at least one uppercase letter, one lowercase letter, one number, and one special character from the following list: !@#$%^&*()_-+=[]{}|;:<>.,/?\~. Non-Latin and other special characters are not allowed.","Your password must include at least one uppercase letter, one lowercase letter, one number, and one special character from the following list: !@#$%^&*()_-+=[]{}|;:<>.,/?\~. Non-Latin and other special characters are not allowed."
