Actions,Aktionen
"Are you sure about deleting this delivery method?","Möchtest Du dieses Zahlungsmittel wirklich löschen?"
"Availability plugin","Verfügbarkeit Plugin"
"Available in Store","Verfügbarkeit im Store"
Carrier,Versendanbieter
"Carrier Company",Versendanbieter
"Carrier was created successfully.","Versendanbieter wurde erfolgreich erstellt."
"Carrier with the same name already exists.","Ein Versendanbieter mit diesem Namen existiert bereits."
Configuration,Konfiguration
"Create Delivery Method","Versandart erstellen"
"Create new carrier company","Neuen Versendanbieter erstellen"
"Create new delivery method","Neue Versandart erstellen"
Delete,Löschen
"Delete Delivery Method","Versandart löschen"
"Delete Delivery Method: %s","Versandart löschen: %s"
"Delivery Method Key","Versandart Schlüssel"
"Delivery method not found.","Versandart nicht gefunden."
"Delivery method was deleted successfully.","Versandart wurde erfolgreich gelöscht."
"Delivery Methods",Versandarten
"Delivery Time plugin","Lieferzeit Plugin"
Edit,Bearbeiten
"Edit Delivery Method: %s","Versandart bearbeiten: %s"
Enabled?,Aktiviert?
"Is this delivery method active?","Ist diese Versandart aktiv?"
"List of delivery methods","Alle Versandarten"
"List Shipment Methods","Alle Versandarten"
"Method Name",Name
Name,Name
"New address","Neue Adresse"
"No, I want to keep this delivery method","Nein, ich möchte diese Versandart behalten"
None,Keine
"Price & Tax","Preis und Steuer"
"Price plugin","Preis Plugin"
Save,Speichern
"Select one","Wähle eins"
"Shipment method has been successfully saved","Versandart wurde erfolgreich gespeichert"
"Shipment method has been successfully updated","Versandart wurde erfolgreich aktualisiert"
"Shipment method is not found","Versandart wurde nicht gefunden"
"Shipment method not found","Versandart wurde nicht gefunden"
"Shipment n° %shipmentNumber%","Versand n° %shipmentNumber%"
Status,Status
"Store relation",Store-Beziehung
"Tax set",Steuer-Set
"This name is already in use.","Dieser Name wird schon benutzt."
"This shipment method key is already in use.","Diese Versandart ID wird schon verwendet."
View,Aussicht
"View Delivery Method: %s","Versandart anzeigen: %s"
"Yes, delete this delivery method","Ja, diese Versandart löschen"
