shopping_list_item_key,shopping_list_key,product_sku,quantity
1,Laptops,134_29759322,1
2,Laptops,136_24425591,1
3,Laptops,135_29836399,3
4,Laptops,138_30657838,1
5,Laptops,139_24699831,1
6,Laptops,141_29380410,1
7,Laptops,145_29885473,1
8,Laptops,152_27104941,1
9,Laptops,137_29283479,1
10,Laptops,142_30943081,1
11,Laptops,140_22766487,1
12,Cameras,001_25904006,1
13,Cameras,184_17365820,1
14,Cameras,035_17360369,1
15,Cameras,017_21748906,1
16,Cameras,185_25904533,1
17,Cameras,187_26306352,1
18,Cameras,015_25904009,5
19,Cameras,001_25904006,1
20,Cameras,018_21081477,5
21,Cameras,027_26976107,2
22,Cameras,186_25904506,1
23,Cameras,033_32125568,1
24,Workstations,115_27295368,1
25,Workstations,118_29804739,1
26,Workstations,124_31623088,1
27,Workstations,126_26280142,1
28,Workstations,119_29804808,1
29,Workstations,128_29955336,1
30,Workstations,127_20723326,1
31,Workstations,117_30585828,1
32,Workstations,129_30706500,1
33,Marketplace Cases,187_26306352,1
35,Marketplace Cases,104_30727010,1
36,Marketplace Cases,185_25904533,1
37,Marketplace Cases,184_17494387,1
38,Marketplace Cases,090_24495844,1
39,Marketplace Cases,101_29727910,1
40,Marketplace Cases,017_21748906,1
41,Marketplace Cases,102_30727008,1
42,Marketplace Cases,002_25904004,1
43,Marketplace Cases,003_26138343,1
