"Add Client","Client hinzufügen"
"Add Client Config","Client Config hinzufügen"
"Add Client Config Method","Client Config Methode hinzufügen"
"Add Client Dependency Provider","Client Dependency Provider hinzufügen"
"Add Client Factory","Client Factory hinzufügen"
"Add Client Interface","Client Interface hinzufügen"
"Add Client Interface Method","Client Interface Methode hinzufügen"
"Add Client Method","Client Method hinzufügen"
"Add Shared Constants Interface","Shared Constants Interface hinzufügen"
"Add Shared Transfer Schema","Shared Transfer Schema hinzufügen"
"Add Spryker Changelog","Spryker Änderungsprotokoll hinzufügen"
"Add Spryker Codeception Configuration","Spryker Codeception Configuration hinzufügen"
"Add Spryker Composer Json","Spryker Composer Json hinzufügen"
"Add Spryker Contributing","Spryker Contributing hinzufügen"
"Add Spryker Coveralls","Spryker Coveralls hinzufügen"
"Add Spryker Gitattributes","Spryker Gitattributes hinzufügen"
"Add Spryker Gitignore","Spryker Gitignore hinzufügen"
"Add Spryker License","Spryker Lizenz hinzufügen"
"Add Spryker Php Stan Json","Spryker Php Stan Json hinzufügen"
"Add Spryker Php Stan Neon","Spryker Php Stan Neon hinzufügen"
"Add Spryker Readme","Spryker Readme hinzufügen"
"Add Spryker Scrutinizer","Spryker Scrutinizer hinzufügen"
"Add Spryker Travis","Spryker Travis hinzufügen"
"Add the Zed *module* test suite configuration without any suite.","Die Zed *module* Testsuite-Konfiguration ohne eine Suite hinzufügen."
"Add Yves Config","Yves Config hinzufügen"
"Add Yves Config Method","Yves Config Method hinzufügen"
"Add Yves Dependency Client Bridge","Yves Dependency Client Bridge hinzufügen"
"Add Yves Dependency Client Bridge Interface Method","Yves Dependency Client Bridge Interface Method hinzufügen"
"Add Yves Dependency Client Bridge Method","Yves Dependency Client Bridge Method hinzufügen"
"Add Yves Dependency Client Dependency Provider Constant","Yves Dependency Client Dependency Provider Constant hinzufügen"
"Add Yves Dependency Client Dependency Provider Method","Yves Dependency Client Dependency Provider Method hinzufügen"
"Add Yves Dependency Client Factory Method","Yves Dependency Client Factory Method hinzufügen"
"Add Yves Dependency Client Interface","Yves Dependency Client Interface hinzufügen"
"Add Yves Dependency Provider","Yves Dependency Provider hinzufügen"
"Add Yves Dependency Service Bridge","Yves Dependency Service Bridge hinzufügen"
"Add Yves Dependency Service Bridge Interface Method","Yves Dependency Service Bridge Interface Method hinzufügen"
"Add Yves Dependency Service Bridge Method","Yves Dependency Service Bridge Method hinzufügen"
"Add Yves Dependency Service Dependency Provider Constant","Yves Dependency Service Dependency Provider Constant hinzufügen"
"Add Yves Dependency Service Dependency Provider Method","Yves Dependency Service Dependency Provider Method hinzufügen"
"Add Yves Dependency Service Factory Method","Yves Dependency Service Factory Method hinzufügen"
"Add Yves Dependency Service Interface","Yves Dependency Service Interface hinzufügen"
"Add Yves Factory","Yves Factory hinzufügen"
"Add Zed Business Facade","Zed Business Facade hinzufügen"
"Add Zed Business Facade Interface","Zed Business Facade Interface hinzufügen"
"Add Zed Business Facade Interface Method","Zed Business Facade Interface Method hinzufügen"
"Add Zed Business Facade Method","Zed Business Facade Method hinzufügen"
"Add Zed Business Facade Method Test","Zed Business Facade Methodntest hinzufügen"
"Add Zed Business Facade Test","Zed Business Facade Test hinzufügen"
"Add Zed Business Factory","Zed Business Factory hinzufügen"
"Add Zed Business Factory Method","Zed Business Factory Method hinzufügen"
"Add Zed Business Model","Zed Business Model hinzufügen"
"Add Zed Business Model Interface","Zed Business Model Interface hinzufügen"
"Add Zed Business Model Interface Method","Zed Business Model Interface Method hinzufügen"
"Add Zed Business Model Method","Zed Business Model Method hinzufügen"
"Add Zed Business Test Suite","Zed Business Testsuite hinzufügen"
"Add Zed Business Test Suite Configuration","Zed Business Testsuite Configuration hinzufügen"
