"Back to Tax Rates","Back to Tax Rates"
"Back to Tax Sets","Back to Tax Sets"
Country,Country
"Create Tax Rate","Create Tax Rate"
"Create Tax Set","Create Tax Set"
"Created at","Created at"
Delete,Delete
Edit,Edit
"Edit Tax Rate:","Edit Tax Rate:"
"Edit Tax Set:","Edit Tax Set:"
"Edit Tax Set","Edit Tax Set"
"List of tax rates","List of tax rates"
"List of tax sets","List of tax sets"
N/A,n/a
Name,Name
"Overview of Tax Rates","Overview of Tax Rates"
"Overview of Tax Sets","Overview of Tax Sets"
Percentage,Percentage
Save,Save
"Tax rate details","Tax rate details"
"Tax rate ID","Tax rate ID"
"Tax rates","Tax rates"
"Tax set details","Tax set details"
"Tax set ID","Tax set ID"
"Updated at","Updated at"
"View Tax Rate:","View Tax Rate:"
"View Tax Set:","View Tax Set:"
