"My Account","My Account"
"First name","First name"
"Last name","Last name"
E-mail,E-mail
Language,Language
Save,Save
"Change password","Change password"
"Change email","Change email"
"Success! The Account is updated.","Success! The Account is updated."
"Please resolve all errors.","Please resolve all errors."
"This value should not be blank.","This value should not be blank."
"This value is not a valid email address.","This value is not a valid email address."
"A user with this email already exists.","A user with this email already exists."
"Personal Details","Personal Details"
"Email *","Email *"
"New email","New email"
Password,Password
"Current password","Current password"
"New password","New password"
"Repeat new password","Repeat new password"
"Re-enter new password","Re-enter new password"
"The value is incorrect. Please try again.","The value is incorrect. Please try again."
"The value needs to match the New Password input.","The value needs to match the New Password input."
"Success! The Password is updated.","Success! The Password is updated."
"Success! The Email is updated.","Success! The Email is updated."
"The value cannot be empty","The value cannot be empty"
"Email changing has been blocked due to too many attempts.","Email changing has been blocked due to too many attempts."
