"Product with id %d is not found.","Product with id %d is not found."
"Is Active","Is Active"
Yes,Yes
No,No
"Merchant SKU","Merchant SKU"
Stores,Stores
"Select stores","Select stores"
"Shipment Types","Shipment Types"
"Select shipment types","Select shipment types"
"Valid From","Valid From"
"Valid To","Valid To"
"Date ""Valid from"" cannot be later than ""Valid to"".","Date ""Valid from"" cannot be later than ""Valid to""."
"Date ""Valid from"" is the same as ""Valid to"".","Date ""Valid from"" is the same as ""Valid to""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Date ""Valid to"" cannot be earlier than ""Valid from""."
"Service Point","Service Point"
"Select a service point","Select a service point"
"Select a service","Select a service"
Quantity,Quantity
"Is Never Out Of Stock","Is Never Out Of Stock"
Sku,Sku
Image,Image
Name,Name
"Valid From (Time in UTC)","Valid From (Time in UTC)"
"Valid To (Time in UTC)","Valid To (Time in UTC)"
"Create Offer","Create Offer"
Deactivated,Deactivated
Active,Active
"Back to Product Offer list","Back to Product Offer list"
"Select product for offer creation","Select product for offer creation"
"Offer %s has been created successfully.","Offer %s has been created successfully."
"List of Services","List of Services"
"Overview of Services","Overview of Services"
Inactive,Inactive
Attributes,Attributes
"Approval Status","Approval Status"
"Time and Date","Time and Date"
"Created At","Created At"
Service,Service
"Update time","Update time"
"Back to Order","Back to Order"
"Order Item Details","Order Item Details"
SKU,SKU
"Product Types","Product Types"
"Select product types","Select product types"
"Current State","Current State"
"Scheduled At:","Scheduled At:"
"Service with ID ""%id%"" does not exist.","Service with ID ""%id%"" does not exist."
N/A,N/A
"View Service","View Service"
Created,Created
asset,Asset
"Attach entity","Attach entity"
"Attached To","Attached To"
Back,Back
"Create File Attachment","Create File Attachment"
"Date Attached","Date Attached"
Details,Details
"Delete File","Delete File"
"File Attachments","File Attachments"
"File Attachment","File Attachment"
"File Name","File Name"
"File with ID ""%id%"" does not exist.","File with ID ""%id%"" does not exist."
File,File
ID,ID
"Linked Entities","Linked Entities"
"List of File Attachments","List of File Attachments"
"Unlink all","Unlink all"
"Upload date","Upload date"
"View File Attachments","View File Attachments"
"Business entity name","Business entity name"
company,Company
"Company User","Company User"
company_user,"Company user"
"Company Business Unit","Company Business Unit"
company_business_unit,"Company business unit"
ssp_asset,Asset
"Upload Files","Upload Files"
"Back to File Attachments","Back to File Attachments"
Upload,Upload
"Please upload valid documents (PDF) or images (JPEG, PNG)","Please upload valid documents (PDF) or images (JPEG, PNG)"
"Please select a file to upload","Please select a file to upload"
"The files were added successfully.","The files were added successfully."
"Upload file","Upload file"
"File was successfully removed.","File was successfully removed."
"File cannot be removed.","File cannot be removed."
"File attachment successfully unlinked.","File attachment successfully unlinked."
"File attachments successfully unlinked.","File attachments successfully unlinked."
"Confirm action","Confirm action"
Confirm,Confirm
Cancel,Cancel
Save,Save
"Are you sure you want to delete file?","Are you sure you want to delete file?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Date From","Date From"
"Date To","Date To"
"Select business entity type","Select business entity type"
"Select entities","Select entities"
"Entity Type","Entity Type"
"Entity ID","Entity ID"
"No entities attached","No entities attached"
"File successfully attached","File successfully attached"
"File attachment failed","File attachment failed"
"Start typing to search...","Start typing to search..."
"You are trying to delete file","You are trying to delete file"
"Deleting this file will delete all the links to the attached entities. Do you want to proceed?","Deleting this file will delete all the links to the attached entities. Do you want to proceed?"
pending,Pending
in_review,"In Review"
approved,Approved
rejected,Rejected
canceled,Canceled
start_review,"Start Review"
cancel,Cancel
approve,Approve
reject,Reject
"View Inquiry: ","View Inquiry: "
"Back to Inquiries","Back to Inquiries"
"Inquiry reference","Inquiry reference"
Date,Date
Store,Store
"Customer Email","Customer Email"
"Company / Business Unit","Company / Business Unit"
"Inquiry Details","Inquiry Details"
order,"Order Claim"
Subject,Subject
Files,Files
"File name","File name"
Download,Download
"Inquiry status transition is not possible.","Inquiry status transition is not possible."
"Internal Comments","Internal Comments"
"File was not found","File was not found"
"No files available.","No files available."
"Order reference","Order reference"
"Show history","Show history"
"Select Type","Select Type"
"Select Status","Select Status"
Filter,Filter
Inquiries,Inquiries
"Create Reclamation","Create Reclamation"
general,General
"Product offer not found.","Product offer not found."
"Offer %s has been updated successfully.","Offer %s has been updated successfully."
Edit,Edit
"Order Reference","Order Reference"
Customer,Customer
Company,Company
"Service (Product name)","Service (Product name)"
Status,Status
"Time a date of Service","Time a date of Service"
"Date created","Date created"
Actions,Actions
View,View
Services,Services
Submit,Submit
"Confirm delete","Confirm delete"
"Add Assets","Add Assets"
Models,Models
"List of Models","List of Models"
"Add Models","Add Models"
"Model Details","Model Details"
Code,Code
"Customer portal","Customer portal"
"Asset Details","Asset Details"
Reference,Reference
"Asset Name","Asset Name"
"Serial Number","Serial Number"
Note,Note
"Asset created date","Asset created date"
"Services are required when a service point is selected.","Services are required when a service point is selected."
"Note: If no image is uploaded locally, the asset will use the image from the provided URL.","Note: If no image is uploaded locally, the asset will use the image from the provided URL."
"Delete Model","Delete Model"
"Are you sure you want to delete this model?","Are you sure you want to delete this model?"
Delete,Delete
"View Model: ","View Model: "
"Back to Models","Back to Models"
Relations,Relations
"Relations will be displayed here in future updates.","Relations will be displayed here in future updates."
"Model successfully deleted","Model successfully deleted"
"Model cannot be deleted","Model cannot be deleted"
"Remove All","Remove All"
"Please confirm to remove all entities","Please confirm to remove all entities"
Keep,Keep
Remove,Remove
Selected,selected
selected-entities-information,"You are about to attach <span class=""js-table-skeleton-dynamic-counter""></span> entities to the selected list. Please review your selection before confirming."
"Save Progress?","Save Progress?"
"Please confirm saving the selected entities.","Please confirm saving the selected entities."
"Remove file","Remove file"
Asset,Asset
"Business Unit","Business Unit"
"Attach asset","Attach Asset"
"Assets to be attached","Assets to be attached"
"Attached assets","Attached assets"
"Assets to be detached","Assets to be detached"
"Import asset file","Import asset file"
"Attach Business Unit","Attach Business Unit"
"Business Units to be attached","Business Units to be attached"
"Attached Business Units","Attached Business Units"
"Business Units to be detached","Business Units to be detached"
"Import business unit file","Import business unit file"
"Attach Company","Attach Company"
"Companies to be attached","Companies to be attached"
"Attached Companies","Attached Companies"
"Companies to be detached","Companies to be detached"
"Import company file","Import company file"
"Attach Company User","Attach Company User"
"Company Users to be attached","Company Users to be attached"
"Attached Company Users","Attached Company Users"
"Company Users to be detached","Company Users to be detached"
"Import company user file","Import company user file"
"Model has been successfully updated.","Model has been successfully updated."
"Something went wrong, please try again.","Something went wrong, please try again."
"Model not found.","Model not found."
"Model name is required.","Model name is required."
"Model name cannot be longer than {{ limit }} characters.","Model name cannot be longer than {{ limit }} characters."
"Model code cannot be longer than {{ limit }} characters.","Model code cannot be longer than {{ limit }} characters."
"Please enter a valid image URL.","Please enter a valid image URL."
"Asset not found.","Asset not found."
"Asset has been successfully updated.","Asset has been successfully updated."
"Asset has been successfully created.","Asset has been successfully created."
"File attachments have been created successfully.","File attachments have been created successfully."
"Invalid entity type.","Invalid entity type."
"Order item scheduled successfully.","Order item scheduled successfully."
"Ssp Inquiry not found","Ssp Inquiry not found"
"CSRF token is not valid.","CSRF token is not valid."
"Model Name","Model Name"
"Model Code","Model Code"
"Image URL","Image URL"
"Business unit owner","Business unit owner"
"Business Units","Business Units"
"Allowed shipment types","Allowed shipment types"
"Date and time","Date and time"
Event,Event
"Business entity type","Business entity type"
Type,Type
"Edit Model: ","Edit Model: "
"Model reference","Model reference"
"Update Model","Update Model"
