Actions,Actions
"Attach entity","Attach entity"
"Attached To","Attached To"
Back,Back
"Create File Attachment","Create File Attachment"
"Date Attached","Date Attached"
Details,Details
"Delete File","Delete File"
"File Attachments","File Attachments"
"File Attachment","File Attachment"
"File Name","File Name"
"File with ID ""%id%"" does not exist.","File with ID ""%id%"" does not exist."
File,File
ID,ID
"Linked Entities","Linked Entities"
"List of File Attachments","List of File Attachments"
Reference,Reference
Size,Size
Type,Type
"Unlink all","Unlink all"
"Upload date","Upload date"
"View File Attachments","View File Attachments"
"Business entity name","Business entity name"
Company,Company
company,Company
"Company User","Company User"
company_user,"Company user"
"Company Business Unit","Company Business Unit"
company_business_unit,"Company business unit"
"Upload Files","Upload Files"
"Back to File List","Back to File List"
Upload,Upload
"Please upload valid documents (PDF) or images (JPEG, PNG)","Please upload valid documents (PDF) or images (JPEG, PNG)"
"Please select a file to upload","Please select a file to upload"
"The files were added successfully.","The files were added successfully."
"Upload file","Upload file"
"File was successfully removed.","File was successfully removed."
"File cannot be removed.","File cannot be removed."
"File attachment successfully unlinked.","File attachment successfully unlinked."
"File attachments successfully unlinked.","File attachments successfully unlinked."
"Confirm action","Confirm action"
Confirm,Confirm
Cancel,Cancel
Save,Save
"Are you sure you want to delete file?","Are you sure you want to delete file?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Date From","Date From"
"Date To","Date To"
"Select type","Select type"
"Select business entity type","Select business entity type"
"Select entities","Select entities"
"Entity Type","Entity Type"
"Entity ID","Entity ID"
"No entities attached","No entities attached"
"File successfully attached","File successfully attached"
"File attachment failed","File attachment failed"
"Start typing to search...","Start typing to search..."
"You are trying to delete file","You are trying to delete file"
"Deleting this file will delete all the links to the attached entities. Do you want to proceed?","Deleting this file will delete all the links to the attached entities. Do you want to proceed?"
