"Product with id %d is not found.","Produkt mit ID %d wurde nicht gefunden."
"Is Active","Ist Aktiv"
Yes,Ja
No,Nein
"Merchant SKU","Merchant SKU"
Stores,Stores
"Select stores","Stores auswählen"
"Shipment Types",Lieferart
"Select shipment types","Lieferart auswählen"
"Valid From","Gültig von"
"Valid To","Gültig bis"
"Date ""Valid from"" cannot be later than ""Valid to"".","Das ""Gültig ab""-Datum kann nicht nach dem ""Gültig bis""-Datum liegen."
"Date ""Valid from"" is the same as ""Valid to"".","Das Datum ""Gültig von"" ist gleich wie ""Gültig bis""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Das ""Gültig bis""-Datum kann nicht vor dem ""Gültig ab""-Datum liegen."
"Service Point",Servicestelle
"Select a service point","Servicestelle auswählen"
Services,Services
"Select a service","Service auswählen"
Quantity,Menge
"Is Never Out Of Stock","Immer auf Lager"
Sku,SKU
Image,Bild
Name,Name
"Valid From (Time in UTC)","Gültig ab (Zeit in UTC)"
"Valid To (Time in UTC)","Gültig bis (Zeit in UTC)"
Status,Status
Actions,Aktionen
"Create Offer","Angebot erstellen"
Deactivated,Inaktiv
Active,Aktiv
"Back to Product Offer list","Zurück zu Angeboten"
"Select product for offer creation","Produkt zur Angebotserstellung auswählen"
Save,Speichern
"Offer %s has been created successfully.","Angebot %s wurde erfolgreich erstellt."
"List of Services","Liste der Dienstleistungen"
"Overview of Services","Übersicht der Dienstleistungen"
"Order Reference",Bestellreferenz
Customer,Kunde
Company,Unternehmen
Inactive,Inaktiv
Description,Beschreibung
Attributes,Attribute
"Approval Status",Genehmigungsstatus
"Time and Date","Zeit und Datum"
"Created At","Erstellt am"
Service,Dienstleistung
"Update time","Zeit aktualisieren"
"Back to Order","Zurück zur Bestellung"
"Order Item Details",Bestellpositionsdetails
SKU,SKU
"Product Types",Produktarten
"Select product types","Produktarten auswählen"
"Current State","Aktueller Status"
"Scheduled At:","Geplant für:"
"Service with ID ""%id%"" does not exist.","Dienstleistung mit ID ""%id%"" existiert nicht."
N/A,N/A
"View Service","Dienstleistung anzeigen"
Created,Erstellt
