"Product with id %d is not found.","Product with id %d is not found."
"Is Active","Is Active"
Yes,Yes
No,No
"Merchant SKU","Merchant SKU"
Stores,Stores
"Select stores","Select stores"
"Shipment Types","Shipment Types"
"Select shipment types","Select shipment types"
"Valid From","Valid From"
"Valid To","Valid To"
"Date ""Valid from"" cannot be later than ""Valid to"".","Date ""Valid from"" cannot be later than ""Valid to""."
"Date ""Valid from"" is the same as ""Valid to"".","Date ""Valid from"" is the same as ""Valid to""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Date ""Valid to"" cannot be earlier than ""Valid from""."
"Service Point","Service Point"
"Select a service point","Select a service point"
Services,Services
"Select a service","Select a service"
Quantity,Quantity
"Is Never Out Of Stock","Is Never Out Of Stock"
Sku,Sku
Image,Image
Name,Name
"Valid From (Time in UTC)","Valid From (Time in UTC)"
"Valid To (Time in UTC)","Valid To (Time in UTC)"
Status,Status
Actions,Actions
"Create Offer","Create Offer"
Deactivated,Deactivated
Active,Active
"Back to Product Offer list","Back to Product Offer list"
"Select product for offer creation","Select product for offer creation"
Save,Save
"Offer %s has been created successfully.","Offer %s has been created successfully."
"List of Services","List of Services"
"Overview of Services","Overview of Services"
"Order Reference","Order Reference"
Customer,Customer
Company,Company
Inactive,Inactive
Description,Description
Attributes,Attributes
"Approval Status","Approval Status"
"Time and Date","Time and Date"
"Created At","Created At"
Service,Service
"Update time","Update time"
"Back to Order","Back to Order"
"Order Item Details","Order Item Details"
SKU,SKU
"Product Abstract Types","Product Abstract Types"
"Select product abstract types","Select product abstract types"
"Current State","Current State"
"Scheduled At:","Scheduled At:"
